gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Pkib	9.52181762679524e-9	-13.8756663067862	0.045	0.118	1.9043635253590478e-5
Ptafr	9.590139684120023e-9	-13.292000689947148	0.045	0.145	1.9180279368240048e-5
Lrrc9	9.808484282199715e-9	-14.519004361026617	0	0.232	1.961696856439943e-5
Cdkn1c	9.838310801135577e-9	7.226005863869979	0.864	0.234	1.9676621602271154e-5
Ly6g5b	9.868225471775504e-9	-14.793810029703764	0	0.161	1.973645094355101e-5
Tpm2	1.0017341663327188e-8	4.49680771337443	0.818	0.099	2.0034683326654377e-5
Gm24451	1.015595291623334e-8	-13.745147072431092	0.091	0.162	2.031190583246668e-5
Wdr78	1.0278995734318586e-8	-7.212291246398321	0.045	0.218	2.0557991468637174e-5
Fscn2	1.05548111285475e-8	-6.316493502498279	0.091	0.163	2.1109622257095e-5
Fam217a	1.0848437193475154e-8	-13.835580618608578	0.045	0.191	2.1696874386950306e-5
Smc2	1.085230224141543e-8	-8.0093759502599	0.045	0.283	2.170460448283086e-5
Cacna2d4	1.0933777023267817e-8	-13.272926685865784	0	0.173	2.1867554046535632e-5
Trbv3	1.0982557445919407e-8	-14.236399910373839	0	0.194	2.1965114891838814e-5
Dctpp1	1.0984512111413715e-8	-5.261413842033175	0.045	0.286	2.196902422282743e-5
Slc18a2	1.1527134726726817e-8	-14.983861920853617	0	0.248	2.3054269453453636e-5
P2ry13	1.160321026246024e-8	-12.854516292765686	0	0.145	2.320642052492048e-5
Gm22043	1.1630055540743145e-8	-12.601712474753489	0	0.224	2.326011108148629e-5
Bdkrb1	1.1663179847018507e-8	-14.130813097413611	0.091	0.183	2.3326359694037013e-5
S100a4	1.1790305101190212e-8	4.030481122075994	0.864	0.092	2.3580610202380423e-5
Aqp7	1.1899735306350422e-8	-12.48049192994582	0.045	0.219	2.3799470612700845e-5
Plekhg5	1.1956945161915251e-8	5.391110106439546	0.818	0.161	2.3913890323830502e-5
Egfl7	1.2199287700656513e-8	-13.565854621338772	0.045	0.165	2.4398575401313025e-5
Zfyve28	1.2270955078865969e-8	-12.443041681895016	0	0.173	2.4541910157731938e-5
Lig4	1.2448608546832272e-8	-5.848778502815397	0.045	0.303	2.4897217093664543e-5
Rmnd5a	1.271639891573834e-8	-6.602108372625776	0.045	0.384	2.543279783147668e-5
Gnal	1.2736707289341192e-8	-15.18391466114083	0	0.192	2.5473414578682383e-5
Cdk1	1.280689985793408e-8	-13.961159494347928	0.091	0.217	2.561379971586816e-5
Clec4d	1.3503501529662966e-8	-13.534315656509612	0.091	0.177	2.7007003059325932e-5
A930003A15Rik	1.3864243801999407e-8	-4.420618562108089	0.045	0.26	2.7728487603998813e-5
Gm23303	1.4084168656613899e-8	-13.629850078859354	0	0.139	2.8168337313227797e-5
Tctex1d1	1.4274649121580523e-8	-9.186521078989779	0	0.29	2.8549298243161047e-5
Amh	1.455478348443359e-8	-13.99889910186767	0	0.224	2.910956696886718e-5
Gypa	1.4787949781198863e-8	-15.061348406474862	0.045	0.189	2.9575899562397727e-5
Fam169a	1.5284076529486116e-8	-13.113862577491275	0.091	0.192	3.056815305897223e-5
Dnm3	1.543849115247051e-8	-4.749082594978038	0.045	0.204	3.087698230494102e-5
Slc4a1	1.5558723657453644e-8	-15.189031212448768	0.045	0.16	3.111744731490729e-5
Arl6ip1	1.582979193378467e-8	-0.36020478042945037	0.045	0.373	3.165958386756934e-5
Prm1	1.6187905590126063e-8	-13.039870013636985	0	0.242	3.237581118025213e-5
Gadd45a	1.724480817691832e-8	-11.82363988562135	0.045	0.25	3.448961635383664e-5
Lpar6	1.7750491658129196e-8	-11.459543522722191	0	0.316	3.550098331625839e-5
Hpgds	1.8039551295535407e-8	-14.15408152800418	0.045	0.203	3.6079102591070816e-5
Pip5k1b	1.8055391531648998e-8	-10.347775320250316	0.045	0.193	3.6110783063298e-5
Tspan33	1.8468769532653136e-8	-14.413867144238578	0.045	0.172	3.693753906530627e-5
Hmga2	1.8501195262577058e-8	-14.078865878189985	0.091	0.166	3.7002390525154114e-05
Ica1l	1.8514181026897542e-8	-14.953244913258334	0	0.226	3.7028362053795085e-5
Pdgfa	1.858902109895071e-8	0.3529469481108496	0.818	0.084	3.717804219790142e-5
S100a3	1.865106699552024e-8	-14.322689978763648	0.045	0.181	3.7302133991040475e-5
Kmo	1.8706752161132732e-8	-14.130927889343642	0	0.176	3.741350432226546e-5
Trav9-1	1.88946417977423e-8	-15.240696379387016	0	0.26	3.77892835954846e-5
Snora78	1.9282687682026116e-8	-12.707762194475642	0	0.166	3.856537536405223e-5
Fos	1.9716408130784147e-8	5.213050671683771	0.818	0.143	3.94328162615683e-5
Hsd11b1	2.014196089598592e-8	-9.807476700561892	0.091	0.173	4.028392179197184e-5
Hal	2.020196267859191e-8	-13.810947543965995	0	0.205	4.040392535718382e-5
Mcf2l	2.0286968636229665e-8	-14.534393728791024	0.045	0.15	4.057393727245933e-5
Tmsb4x	2.031893464644053e-8	-14.223540579312246	0.091	0.398	4.0637869292881063e-05
Ssbp2	2.086989717627352e-8	-4.5866144329816025	0	0.393	4.173979435254704e-5
Trav13-1	2.0990619698701077e-8	-15.601296012072066	0	0.162	4.1981239397402154e-5
Trbv29	2.1082527215696625e-8	-14.544400362256095	0	0.22	4.216505443139325e-5
Prdm1	2.115633439342083e-8	-14.7018795056508	0	0.179	4.231266878684166e-5
Nr1h4	2.1405418694595723e-8	-6.920353858446144	0.045	0.17	4.281083738919145e-5
Nyap1	2.1615794249098632e-8	-10.589427105627372	0	0.236	4.323158849819726e-5
March1	2.189686655834554e-8	-12.399222172878599	0.045	0.144	4.3793733116691085e-5
Aldh1a3	2.2169879152244256e-8	-13.076540863927086	0.091	0.162	4.4339758304488514e-5
Ctla4	2.3202177433656618e-8	-14.096300423682601	0	0.181	4.6404354867313233e-5
Trim47	2.3388885221725603e-8	-5.925532716204488	0.773	0.054	4.677777044345121e-5
Pcna	2.356063464179958e-8	-7.659939533830164	0.091	0.321	4.712126928359916e-5
Tle6	2.3945299566147236e-8	-14.713666967014216	0	0.202	4.7890599132294474e-5
B230359F08Rik	2.457005507941728e-8	-14.73692112864265	0	0.146	4.9140110158834556e-5
Tssk6	2.567486750281309e-8	-13.114672086462644	0	0.164	5.1349735005626186e-5
Abcg1	2.5817996019931485e-8	-11.515139079552275	0.045	0.198	5.1635992039862966e-5
Itgb7	2.650389783774634e-8	-13.2100494790853	0	0.119	5.300779567549268e-5
Slc7a14	2.6670015687747678e-8	-15.047417290661658	0	0.242	5.3340031375495356e-5
Gm26566	2.7914627272065923e-8	-14.712922744425427	0	0.158	5.582925454413184e-5
Cacna1d	2.8069855236700504e-8	-11.349783208078723	0	0.248	5.613971047340101e-5
a	2.808931752719238e-8	-6.770948385569416	0	0.253	5.617863505438476e-5
Wfikkn1	2.8133155554949518e-8	-15.05247401909583	0	0.219	5.626631110989904e-5
Psd	2.8392659988341646e-8	-3.6383656169939567	0.818	0.127	5.678531997668329e-5
Itgam	2.951022552208075e-8	-15.402449149060972	0	0.104	5.90204510441615e-5
Plxnd1	2.98542529178868e-8	-6.870194382561719	0	0.24	5.97085058357736e-5
Slfn1	3.0638629673419236e-8	-14.768673271927286	0	0.129	6.127725934683847e-5
F13a1	3.069162639495922e-8	-14.126896123754255	0	0.196	6.138325278991844e-5
