Status	seurat_clusters	cells	fraction
MRV_DoL4	27	41	0.0069081718618365625
MRV_DoL4	28	121	0.020387531592249368
MRV_DoL4	29	126	0.02122999157540017
MRV_DoL4	30	58	0.009772535804549284
MRV_DoL4	31	76	0.012805391743892166
MRV_DoL4	32	35	0.005897219882055603
MRV_DoL4	33	70	0.011794439764111205
MRV_DoL4	34	93	0.015669755686604885
MRV_DoL4	35	89	0.014995787700084246
MRV_DoL4	36	3	5.054759898904802e-4
MRV_DoL4	37	54	0.009098567818028643
MRV_DoL4	38	18	0.0030328559393428814
MRV_DoL4	39	20	0.003369839932603201
MRV_DoL4	40	35	0.005897219882055603
MRV_DoL4	41	5	8.424599831508003e-4
MRV_DoL4	42	25	0.004212299915754001
MRV_DoL4	43	34	0.0057287278854254425
MRV_DoL4	44	17	0.0028643639427127212
